## index.txt

Prince of Stride | 1 | 00:13:03 - 00:13:15 | https://d.maxfile.ro/lhejsasszs.mp4 | Agreement,Dramatic Entry | "YOSHA!" <door slams open> |  | 
Prince of Poop | 1 | 00:06:00 - 00:06:30 | https://d.maxfile.ro/vfexpdeebj.mp4 | Character Turns,Failure,Dynamic Action | Volleyball passes, run into jumping slide. Fails to return volleyball, hits character on the head before bouncing off. Head follows volleyball in airs |  | 
Haruchika - Haruta to Chika wa Seishun Suru | 1 | 00:20:38 - 00:20:42 | https://my.mixtape.moe/pmaade.webm | Hello | "Ohayou!" <groan> |  | 
Haruchika - Haruta to Chika wa Seishun Suru | 2 | 00:02:20 - 00:03:00 | https://my.mixtape.moe/pmaade.webm | Dramatic Entry | Rawr |  | 
Sakurasou no pet no kanojou | 24 | 00:23:00 - 00:23:14 | https://youtu.be/ezBu6ymaJR0?t=15s | Misunderstanding,Failure,Scream,Red | Sees Bloody knife, screams runs into person |  | 
Other Clip 1 | 1 | 00:23:00 - 00:23:14 | https://youtu.be/ezBu6ymaJR0?t=15s | Misunderstanding,Failure,Scream,Red | Sees Bloody knife, screams runs into person |  | 
Other Clip 2 | 2 | 00:02:20 - 00:03:00 | https://my.mixtape.moe/pmaade.webm | Tag1List1 | Rawr |  | 
Other Clip 3 | 2 | 00:02:20 - 00:03:00 | https://my.mixtape.moe/pmaade.webm | Tag2List1 | Rawr |  | 
Other Clip 11 | 1 | 00:23:00 - 00:23:14 | https://youtu.be/ezBu6ymaJR0?t=15s | Misunderstanding,Failure,Scream,Red | Sees Bloody knife, screams runs into person |  | 
Other Clip 12 | 2 | 00:02:20 - 00:03:00 | https://my.mixtape.moe/pmaade.webm | Tag1List2 | Rawr |  | 
Other Clip 13 | 2 | 00:02:20 - 00:03:00 | https://my.mixtape.moe/pmaade.webm | Tag2List2 | Rawr |  | 
Other Clip 21 | 1 | 00:23:00 - 00:23:14 | https://youtu.be/ezBu6ymaJR0?t=15s | Magic,Failure,Scream,Red | Sees Bloody knife, screams runs into person |  | 
Other Clip 22 | 2 | 00:02:20 - 00:03:00 | https://my.mixtape.moe/pmaade.webm | Tag1List3 | Rawr |  | 
Other Clip 23 | 2 | 00:02:20 - 00:03:00 | https://my.mixtape.moe/pmaade.webm | Tag2List3 | Rawr |  | 
